case_id,bug_type,original_bytes,original_statements,line-ddmin_status,line-ddmin_reduced_bytes,line-ddmin_cr,line-ddmin_reduced_statements,line-ddmin_stmt_cr,line-ddmin_invalid_rate,line-ddmin_tests,line-ddmin_time,statement-ddmin_status,statement-ddmin_reduced_bytes,statement-ddmin_cr,statement-ddmin_reduced_statements,statement-ddmin_stmt_cr,statement-ddmin_invalid_rate,statement-ddmin_tests,statement-ddmin_time,reducefix-sql_status,reducefix-sql_reduced_bytes,reducefix-sql_cr,reducefix-sql_reduced_statements,reducefix-sql_stmt_cr,reducefix-sql_invalid_rate,reducefix-sql_tests,reducefix-sql_time,reducefix-sql-cleanup_status,reducefix-sql-cleanup_reduced_bytes,reducefix-sql-cleanup_cr,reducefix-sql-cleanup_reduced_statements,reducefix-sql-cleanup_stmt_cr,reducefix-sql-cleanup_invalid_rate,reducefix-sql-cleanup_tests,reducefix-sql-cleanup_time,cleanup_minus_statement_cr,cleanup_minus_statement_stmt_cr,cleanup_minus_statement_tests,cleanup_minus_statement_invalid_rate
sqlancer_sqlite_102_query_with_order_by_results_in_database_disk_image_is_malformed,error,204,5,success,204,0.0,5,0.0,0.5,26,0.027864456176757812,success,204,0.0,5,0.0,0.5,26,0.027808427810668945,success,181,11.274509803921573,5,0.0,0.0,15,0.016037464141845703,success,139,31.862745098039213,4,19.999999999999996,0.2857142857142857,35,0.03835129737854004,31.862745098039213,19.999999999999996,9.0,-0.2142857142857143
sqlancer_sqlite_103_analyze_causes_distinct_to_malfunction_in_cross_join,PQS,317,7,success,308,2.8391167192429068,6,14.28571428571429,0.475,40,0.043699026107788086,success,308,2.8391167192429068,6,14.28571428571429,0.475,40,0.043408870697021484,success,257,18.927444794952685,6,14.28571428571429,0.0,24,0.02707195281982422,success,257,18.927444794952685,6,14.28571428571429,0.2692307692307692,52,0.05675935745239258,16.08832807570978,0.0,12.0,-0.20576923076923076
sqlancer_sqlite_104_query_with_distinct_does_not_fetch_all_distinct_rows,PQS,305,7,success,293,3.934426229508192,6,14.28571428571429,0.46153846153846156,39,0.041959285736083984,success,293,3.934426229508192,6,14.28571428571429,0.46153846153846156,39,0.04263138771057129,success,215,29.508196721311474,6,14.28571428571429,0.0,41,0.045690298080444336,success,215,29.508196721311474,6,14.28571428571429,0.2028985507246377,69,0.07646632194519043,25.57377049180328,0.0,30.0,-0.25863991081382387
sqlancer_sqlite_105_min_malfunctions_for_unique_column,PQS,107,3,success,107,0.0,3,0.0,0.5,12,0.012888193130493164,success,107,0.0,3,0.0,0.5,12,0.012553930282592773,success,107,0.0,3,0.0,0.0,0,7.62939453125e-05,success,107,0.0,3,0.0,0.5,12,0.012856006622314453,0.0,0.0,0.0,0.0
sqlancer_sqlite_106_min_malfunctions_for_a_query_with_isnull_condition,PQS,150,4,success,110,26.66666666666667,3,25.0,0.5,18,0.018770456314086914,success,110,26.66666666666667,3,25.0,0.5,18,0.019012451171875,success,110,26.66666666666667,3,25.0,0.0,1,0.001196146011352539,success,110,26.66666666666667,3,25.0,0.46153846153846156,13,0.014929771423339844,0.0,0.0,-5.0,-0.038461538461538436
sqlancer_sqlite_107_unexpected_affinity_conversion_in_view,PQS,162,4,success,162,0.0,4,0.0,0.5,12,0.012772083282470703,success,162,0.0,4,0.0,0.5,12,0.012969255447387695,success,162,0.0,4,0.0,0.5,4,0.004375934600830078,success,162,0.0,4,0.0,0.5,16,0.0174715518951416,0.0,0.0,4.0,0.0
sqlancer_sqlite_109_unexpected_affinity_conversion_for_view_column_in_in_operator,PQS,129,4,success,129,0.0,4,0.0,0.5,12,0.01286458969116211,success,129,0.0,4,0.0,0.5,12,0.013778448104858398,success,129,0.0,4,0.0,0.5,4,0.004980325698852539,success,129,0.0,4,0.0,0.5,16,0.01773214340209961,0.0,0.0,4.0,0.0
sqlancer_sqlite_10_problem_with_real_values_and_string_functions_used_in_indexes_or,error,132,4,success,123,6.818181818181824,3,25.0,0.45,20,0.021234750747680664,success,123,6.818181818181824,3,25.0,0.45,20,0.0210418701171875,success,132,0.0,4,0.0,0.3333333333333333,18,0.020155906677246094,success,123,6.818181818181824,3,25.0,0.39473684210526316,38,0.042222023010253906,0.0,0.0,18.0,-0.05526315789473685
sqlancer_sqlite_110_incorrect_result_for_query_that_uses_min_and_a_cast_on_rowid,PQS,215,5,success,184,14.418604651162791,4,19.999999999999996,0.5238095238095238,21,0.02316737174987793,success,184,14.418604651162791,4,19.999999999999996,0.5238095238095238,21,0.022872209548950195,success,184,14.418604651162791,4,19.999999999999996,0.42857142857142855,7,0.007792472839355469,success,184,14.418604651162791,4,19.999999999999996,0.47368421052631576,19,0.021024703979492188,0.0,0.0,-2.0,-0.05012531328320807
sqlancer_sqlite_111_constant_expression_in_partial_index_results_in_row_not_being_fe,PQS,159,4,success,103,35.22012578616353,3,25.0,0.47368421052631576,19,0.02037811279296875,success,103,35.22012578616353,3,25.0,0.47368421052631576,19,0.019636154174804688,success,103,35.22012578616353,3,25.0,0.0,1,0.0011467933654785156,success,103,35.22012578616353,3,25.0,0.46153846153846156,13,0.013622283935546875,0.0,0.0,-6.0,-0.012145748987854199
sqlancer_sqlite_113_null_pointer_dereference_caused_by_window_functions_in_result_se,crash,154,3,success,154,0.0,3,0.0,0.5,12,0.012353897094726562,success,154,0.0,3,0.0,0.5,12,0.01277923583984375,success,154,0.0,3,0.0,0.0,0,8.511543273925781e-05,success,154,0.0,3,0.0,0.5,12,0.012887954711914062,0.0,0.0,0.0,0.0
sqlancer_sqlite_114_left_join_fails_to_fetch_row,PQS,168,4,success,168,0.0,4,0.0,0.5,12,0.013087272644042969,success,168,0.0,4,0.0,0.5,12,0.012650728225708008,success,168,0.0,4,0.0,0.0,4,0.004504680633544922,success,168,0.0,4,0.0,0.375,16,0.017940521240234375,0.0,0.0,4.0,-0.125
sqlancer_sqlite_115_where_clause_erroneously_influences_value_of_fetched_column_from,PQS,184,4,success,184,0.0,4,0.0,0.5,12,0.013305902481079102,success,184,0.0,4,0.0,0.5,12,0.013076543807983398,success,184,0.0,4,0.0,0.5,4,0.004348039627075195,success,184,0.0,4,0.0,0.5,16,0.017323970794677734,0.0,0.0,4.0,0.0
sqlancer_sqlite_116_indexed_by_results_in_row_not_being_fetched,PQS,205,4,success,205,0.0,4,0.0,0.5833333333333334,12,0.013187885284423828,success,205,0.0,4,0.0,0.5833333333333334,12,0.012660503387451172,success,205,0.0,4,0.0,0.6,5,0.0056803226470947266,success,205,0.0,4,0.0,0.5882352941176471,17,0.0179443359375,0.0,0.0,5.0,0.004901960784313708
sqlancer_sqlite_117_distinct_malfunctions_for_is_null,PQS,277,5,success,265,4.332129963898912,4,19.999999999999996,0.45454545454545453,22,0.023579120635986328,success,265,4.332129963898912,4,19.999999999999996,0.45454545454545453,22,0.024733543395996094,success,185,33.21299638989169,4,19.999999999999996,0.0,11,0.012476921081542969,success,185,33.21299638989169,4,19.999999999999996,0.2608695652173913,23,0.02525496482849121,28.88086642599278,0.0,1.0,-0.19367588932806323
sqlancer_sqlite_118_row_is_not_fetched_in_table_with_integer_primary_key,PQS,139,3,success,139,0.0,3,0.0,0.5,12,0.012676715850830078,success,139,0.0,3,0.0,0.5,12,0.012543678283691406,success,139,0.0,3,0.0,0.0,0,8.177757263183594e-05,success,139,0.0,3,0.0,0.5,12,0.012885093688964844,0.0,0.0,0.0,0.0
sqlancer_sqlite_119_row_with_comparison_on_text_unique_column_is_not_fetched,PQS,110,3,success,110,0.0,3,0.0,0.5,12,0.012798786163330078,success,110,0.0,3,0.0,0.5,12,0.013053417205810547,success,110,0.0,3,0.0,0.0,0,7.939338684082031e-05,success,110,0.0,3,0.0,0.5,12,0.012468576431274414,0.0,0.0,0.0,0.0
sqlancer_sqlite_120_likely_seems_to_cause_unexpected_affinity_conversion_for_rowid,PQS,103,3,success,103,0.0,3,0.0,0.5,12,0.012704849243164062,success,103,0.0,3,0.0,0.5,12,0.01221919059753418,success,103,0.0,3,0.0,0.0,0,7.796287536621094e-05,success,103,0.0,3,0.0,0.5,12,0.012769222259521484,0.0,0.0,0.0,0.0
sqlancer_sqlite_127_expression_computed_on_row_yields_incorrect_result,NoREC,142,4,success,110,22.535211267605636,3,25.0,0.5,18,0.019325971603393555,success,110,22.535211267605636,3,25.0,0.5,18,0.01949286460876465,success,110,22.535211267605636,3,25.0,0.0,1,0.0011441707611083984,success,110,22.535211267605636,3,25.0,0.46153846153846156,13,0.014082670211791992,0.0,0.0,-5.0,-0.038461538461538436
sqlancer_sqlite_130_collate_nocase_string_comparison_yields_incorrect_result,NoREC,154,4,success,113,26.623376623376625,3,25.0,0.5,18,0.019337177276611328,success,113,26.623376623376625,3,25.0,0.5,18,0.01855754852294922,success,113,26.623376623376625,3,25.0,0.0,1,0.0011112689971923828,success,113,26.623376623376625,3,25.0,0.46153846153846156,13,0.014109373092651367,0.0,0.0,-5.0,-0.038461538461538436
sqlancer_sqlite_131_between_issue_in_view,NoREC,213,4,success,213,0.0,4,0.0,0.5,12,0.012608528137207031,success,213,0.0,4,0.0,0.5,12,0.012735128402709961,success,213,0.0,4,0.0,0.5,4,0.0044708251953125,success,213,0.0,4,0.0,0.5,16,0.01699972152709961,0.0,0.0,4.0,0.0
sqlancer_sqlite_133_collate_issue_in_view,NoREC,162,4,success,162,0.0,4,0.0,0.5,12,0.01295161247253418,success,162,0.0,4,0.0,0.5,12,0.012725114822387695,success,162,0.0,4,0.0,0.5,4,0.0046727657318115234,success,162,0.0,4,0.0,0.5,16,0.016896963119506836,0.0,0.0,4.0,0.0
sqlancer_sqlite_135_row_is_not_fetched_when_using_where_clause_with_instr,NoREC,220,4,success,220,0.0,4,0.0,0.5,12,0.012693166732788086,success,220,0.0,4,0.0,0.5,12,0.01251840591430664,success,215,2.2727272727272707,4,0.0,0.0,2,0.0023407936096191406,success,215,2.2727272727272707,4,0.0,0.42857142857142855,14,0.01505279541015625,2.2727272727272707,0.0,2.0,-0.07142857142857145
sqlancer_sqlite_137_comparison_on_view_malfunctions,NoREC,158,4,success,158,0.0,4,0.0,0.5,12,0.013074874877929688,success,158,0.0,4,0.0,0.5,12,0.012959003448486328,success,158,0.0,4,0.0,0.5,4,0.004416704177856445,success,158,0.0,4,0.0,0.5,16,0.01723647117614746,0.0,0.0,4.0,0.0
sqlancer_sqlite_139_fts_pgsz_option_results_in_database_disk_image_is_malformed_erro,error,255,6,success,177,30.58823529411765,4,33.333333333333336,0.0,24,0.027757644653320312,success,177,30.58823529411765,4,33.333333333333336,0.0,24,0.027231693267822266,success,178,30.196078431372552,4,33.333333333333336,0.0,13,0.01439046859741211,success,178,30.196078431372552,4,33.333333333333336,0.0,25,0.02817058563232422,-0.39215686274509665,0.0,1.0,0.0
sqlancer_sqlite_145_fts_integrity_check_indicates_that_the_database_disk_image_is_ma,error,6397,5,success,97,98.483664217602,2,60.0,0.4444444444444444,9,0.01007390022277832,success,97,98.483664217602,2,60.0,0.4444444444444444,9,0.01113438606262207,success,145,97.73331249022979,3,40.0,0.5,6,0.009339094161987305,success,97,98.483664217602,2,60.0,0.46153846153846156,13,0.016140460968017578,0.0,0.0,4.0,0.017094017094017144
sqlancer_sqlite_152_trigger_inserts_duplicate_value_in_unique_column,error,192,6,success,183,4.6875,5,16.666666666666664,0.4,15,0.01615309715270996,success,183,4.6875,5,16.666666666666664,0.3333333333333333,36,0.0384821891784668,success,192,0.0,6,0.0,0.2903225806451613,31,0.0339813232421875,success,183,4.6875,5,16.666666666666664,0.31343283582089554,67,0.0713341236114502,0.0,0.0,31.0,-0.019900497512437776
sqlancer_sqlite_158_comparison_of_row_values_with_collate_nocase_yields_incorrect_re,NoREC,121,3,success,121,0.0,3,0.0,0.5,12,0.012986421585083008,success,121,0.0,3,0.0,0.5,12,0.012748956680297852,success,121,0.0,3,0.0,0.0,0,8.344650268554688e-05,success,121,0.0,3,0.0,0.5,12,0.012938261032104492,0.0,0.0,0.0,0.0
sqlancer_sqlite_15_insert_or_fail_inserts_row_although_it_violates_a_table_constrai,PQS,211,5,success,167,20.853080568720383,3,40.0,0.45,20,0.021265029907226562,success,167,20.853080568720383,3,40.0,0.45,20,0.021544456481933594,success,185,12.322274881516593,4,19.999999999999996,0.0,5,0.005625009536743164,success,167,20.853080568720383,3,40.0,0.36,25,0.028003215789794922,0.0,0.0,5.0,-0.09000000000000002
sqlancer_sqlite_161_trigger_causes_query_to_compute_incorrect_result,NoREC,293,8,success,227,22.525597269624576,6,25.0,0.32727272727272727,55,0.0585329532623291,success,227,22.525597269624576,6,25.0,0.32727272727272727,55,0.059192657470703125,success,225,23.208191126279864,6,25.0,0.0,22,0.02436971664428711,success,225,23.208191126279864,6,25.0,0.16,50,0.05442070960998535,0.6825938566552878,0.0,-5.0,-0.16727272727272727
sqlancer_sqlite_162_reindex_causes_unique_constraint_failed_error_for_generated_colu,error,141,5,success,123,12.765957446808507,3,40.0,0.45454545454545453,22,0.023032188415527344,success,123,12.765957446808507,3,40.0,0.45454545454545453,22,0.022607088088989258,success,132,6.382978723404253,4,19.999999999999996,0.45,20,0.021817445755004883,success,123,12.765957446808507,3,40.0,0.45,40,0.04208779335021973,0.0,0.0,18.0,-0.004545454545454519
sqlancer_sqlite_164_segfault_when_updating_table_with_generated_columns,crash,309,7,success,141,54.36893203883495,2,71.42857142857143,0.43478260869565216,23,0.024299144744873047,success,141,54.36893203883495,2,71.42857142857143,0.43478260869565216,23,0.026010990142822266,success,163,47.24919093851133,3,57.14285714285714,0.3157894736842105,19,0.02100348472595215,success,141,54.36893203883495,2,71.42857142857143,0.34615384615384615,26,0.02842855453491211,0.0,0.0,3.0,-0.08862876254180602
sqlancer_sqlite_165_vacuum_issue_on_table_with_generated_column,error,100,4,success,27,73.0,1,75.0,0.0,4,0.004225969314575195,success,27,73.0,1,75.0,0.0,4,0.004190683364868164,success,35,65.0,2,50.0,0.0,4,0.004457712173461914,success,27,73.0,1,75.0,0.0,6,0.006598949432373047,0.0,0.0,2.0,0.0
sqlancer_sqlite_168_segfault_in_table_with_generated_column_and_foreign_key,crash,361,7,success,262,27.423822714681446,3,57.14285714285714,0.36363636363636365,22,0.024943113327026367,success,262,27.423822714681446,3,57.14285714285714,0.36363636363636365,22,0.02493572235107422,success,285,21.052631578947366,4,42.85714285714286,0.0,10,0.01193547248840332,success,262,27.423822714681446,3,57.14285714285714,0.23333333333333334,30,0.03503060340881348,0.0,0.0,8.0,-0.1303030303030303
sqlancer_sqlite_169_replace_causes_segfault_in_table_with_generated_column_and_forei,crash,239,5,success,170,28.870292887029294,3,40.0,0.42857142857142855,28,0.030936002731323242,success,170,28.870292887029294,3,40.0,0.42857142857142855,28,0.03178071975708008,success,170,28.870292887029294,3,40.0,0.0,2,0.0026123523712158203,success,170,28.870292887029294,3,40.0,0.2857142857142857,14,0.015214920043945312,0.0,0.0,-14.0,-0.14285714285714285
sqlancer_sqlite_16_incorrect_result_for_and_comparison_of_rowid_and_non_numeric_tex,PQS,207,6,success,168,18.840579710144922,5,16.666666666666664,0.5151515151515151,33,0.03462529182434082,success,168,18.840579710144922,5,16.666666666666664,0.5151515151515151,33,0.035062313079833984,success,168,18.840579710144922,5,16.666666666666664,0.5263157894736842,19,0.020585060119628906,success,168,18.840579710144922,5,16.666666666666664,0.5111111111111111,45,0.04929089546203613,0.0,0.0,12.0,-0.004040404040404066
sqlancer_sqlite_170_incorrect_result_for_glob_operator,NoREC,232,7,success,96,58.62068965517242,3,57.14285714285714,0.5,20,0.0213470458984375,success,96,58.62068965517242,3,57.14285714285714,0.5,20,0.021068572998046875,success,96,58.62068965517242,3,57.14285714285714,0.0,5,0.006086111068725586,success,96,58.62068965517242,3,57.14285714285714,0.35294117647058826,17,0.017848730087280273,0.0,0.0,-3.0,-0.14705882352941174
